,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
62,Ohio,Paulding County,,8746,84.8,9.0,0.0,1.8,0.0,0.3,4.1,24.0
63,Ohio,Perry County,,15335,85.3,7.1,0.3,1.5,0.0,0.7,5.1,33.2
64,Ohio,Pickaway County,,26846,75.2,9.8,0.1,0.9,0.0,0.4,13.5,27.9
65,Ohio,Pike County,,10133,86.9,6.0,0.1,1.1,0.2,0.5,5.2,29.7
66,Ohio,Portage County,,81097,73.8,6.8,0.7,2.9,0.2,0.7,14.9,24.8
67,Ohio,Preble County,,19194,82.8,7.2,0.1,2.0,0.0,0.6,7.3,26.4
68,Ohio,Putnam County,,16731,85.4,6.0,0.2,2.0,0.1,0.3,6.1,22.3
69,Ohio,Richland County,,53030,81.4,10.0,0.6,1.1,0.3,1.0,5.6,21.8
70,Ohio,Ross County,,31312,83.4,9.6,0.0,1.3,0.0,0.5,5.2,26.4
71,Ohio,Sandusky County,,26176,84.8,7.3,0.4,1.7,0.2,1.2,4.2,20.7
72,Ohio,Scioto County,,27143,84.4,7.4,0.1,1.6,0.2,0.8,5.6,27.9
73,Ohio,Seneca County,,26140,81.6,7.4,0.2,4.0,0.1,0.7,5.9,20.7
74,Ohio,Shelby County,,23208,83.3,9.8,0.2,0.8,0.2,0.7,5.0,19.0
75,Ohio,Stark County,,177066,77.7,6.5,0.8,1.6,0.1,1.5,11.8,21.7
76,Ohio,Summit County,,263518,74.5,7.5,0.8,1.2,0.2,1.1,14.8,23.2
77,Ohio,Trumbull County,,84904,81.1,8.8,0.5,1.3,0.1,1.5,6.6,23.4
78,Ohio,Tuscarawas County,,41683,80.4,6.8,0.0,1.7,1.0,1.7,8.3,23.2
79,Ohio,Union County,,34333,70.0,5.9,0.7,0.5,0.1,1.2,21.6,26.0
80,Ohio,Van Wert County,,14051,84.0,7.9,0.0,1.9,0.3,1.3,4.5,19.7
81,Ohio,Vinton County,,5068,83.6,5.3,0.0,1.1,0.0,0.0,10.0,35.8
82,Ohio,Warren County,,125084,73.7,5.9,0.1,0.6,0.1,1.0,18.6,25.3
83,Ohio,Washington County,,26656,81.1,6.9,0.4,1.9,0.1,0.5,9.1,23.5
84,Ohio,Wayne County,,53004,72.9,10.3,0.1,4.8,1.6,2.0,8.3,20.6
85,Ohio,Williams County,,16990,85.9,8.3,0.6,1.9,0.3,0.4,2.7,19.8
86,Ohio,Wood County,,65942,80.0,6.0,0.1,2.6,0.2,0.7,10.3,20.5
87,Ohio,Wyandot County,,10538,85.9,6.3,0.2,2.5,0.2,0.5,4.4,20.7
0,Ohio,Adams County,Census Tract 7701,2079,78.0,10.9,0.0,0.4,0.0,3.0,7.8,32.8
1,Ohio,Adams County,Census Tract 7702,1634,84.7,6.9,0.4,2.4,0.0,0.0,5.5,36.8
2,Ohio,Adams County,Census Tract 7703.01,1545,86.9,5.0,0.0,0.1,0.6,0.2,7.2,47.6
3,Ohio,Adams County,Census Tract 7703.02,1594,83.1,9.0,0.0,2.8,0.0,0.0,5.0,39.2
4,Ohio,Adams County,Census Tract 7704,1464,89.3,4.7,0.8,1.9,0.0,0.0,3.2,24.6
5,Ohio,Adams County,Census Tract 7705,722,82.7,12.6,0.0,0.0,0.0,1.9,2.8,48.2
6,Ohio,Adams County,Census Tract 7706,1222,90.6,6.5,0.0,0.0,0.0,0.0,2.9,32.0
7,Ohio,Allen County,Census Tract 101,1779,74.4,4.6,0.0,9.7,0.0,0.9,10.4,19.1
