,GEO_0,GEO_1,GEO_2,GEO_3,median_HH_income,per_capita_income,gini_index,pop_FPL_total,pop_FPL_LT50,pop_FPL_50_99,below_poverty_pct
71,Illinois,Peoria County,,,65108.0,40155.0,0.4853,174531,14065,13279,0.1567
72,Illinois,Perry County,,,62118.0,30897.0,0.4125,18089,925,2139,0.1694
73,Illinois,Piatt County,,,94811.0,46739.0,0.4071,16583,554,464,0.0614
74,Illinois,Pike County,,,59777.0,32134.0,0.4331,14031,884,1199,0.1485
75,Illinois,Pope County,,,60050.0,31967.0,0.4318,3600,373,106,0.1331
76,Illinois,Pulaski County,,,42463.0,24074.0,0.4395,4808,684,517,0.2498
77,Illinois,Putnam County,,,75590.0,40375.0,0.3954,5576,255,196,0.0809
78,Illinois,Randolph County,,,68131.0,32715.0,0.4079,27149,1897,2075,0.1463
79,Illinois,Richland County,,,62455.0,33126.0,0.4228,15320,803,1048,0.1208
80,Illinois,Rock Island County,,,67159.0,36842.0,0.4413,137358,9489,11803,0.155
81,Illinois,St. Clair County,,,73854.0,38942.0,0.452,248168,17066,16644,0.1358
82,Illinois,Saline County,,,53117.0,36683.0,0.5251,22628,1446,2839,0.1894
83,Illinois,Sangamon County,,,75357.0,44151.0,0.4637,191264,12725,12357,0.1311
84,Illinois,Schuyler County,,,65948.0,32939.0,0.4274,6649,805,576,0.2077
85,Illinois,Scott County,,,66705.0,36633.0,0.458,4885,271,289,0.1146
86,Illinois,Shelby County,,,72095.0,34820.0,0.3806,20477,959,915,0.0915
87,Illinois,Stark County,,,62878.0,37754.0,0.4482,5149,234,335,0.1105
88,Illinois,Stephenson County,,,64043.0,35305.0,0.42,43013,2650,3341,0.1393
89,Illinois,Tazewell County,,,77982.0,41190.0,0.426,127000,5301,6152,0.0902
90,Illinois,Union County,,,55728.0,31657.0,0.4586,16575,1639,1712,0.2022
91,Illinois,Vermilion County,,,56877.0,31655.0,0.4417,69149,5076,7141,0.1767
92,Illinois,Wabash County,,,57086.0,37580.0,0.4987,10859,742,1070,0.1669
93,Illinois,Warren County,,,67385.0,35164.0,0.4299,15297,1237,1001,0.1463
94,Illinois,Washington County,,,78224.0,40841.0,0.4025,13390,546,462,0.0753
95,Illinois,Wayne County,,,55521.0,31813.0,0.4615,15852,1368,1188,0.1612
96,Illinois,White County,,,54813.0,30898.0,0.4535,13194,1045,1115,0.1637
97,Illinois,Whiteside County,,,67500.0,37312.0,0.4389,53820,3520,2927,0.1198
98,Illinois,Will County,,,109984.0,47516.0,0.4157,692860,27207,23592,0.0733
99,Illinois,Williamson County,,,65604.0,37284.0,0.4417,64568,4337,4543,0.1375
100,Illinois,Winnebago County,,,65837.0,35697.0,0.4496,279134,21018,22578,0.1562
101,Illinois,Woodford County,,,91483.0,44140.0,0.4104,37159,1817,797,0.0703
0,Illinois,Adams County,Census Tract 1,,69851.0,46133.0,0.4348,4219,373,98,0.1116
1,Illinois,Adams County,Census Tract 2.01,,57417.0,34033.0,0.3861,1889,166,12,0.0942
2,Illinois,Adams County,Census Tract 2.02,,75117.0,29488.0,0.3584,2421,117,146,0.1086
3,Illinois,Adams County,Census Tract 4,,42219.0,33601.0,0.6079,3258,600,326,0.2842
4,Illinois,Adams County,Census Tract 5,,41417.0,24751.0,0.4025,1675,418,105,0.3122
5,Illinois,Adams County,Census Tract 6,,72907.0,47737.0,0.4767,3891,79,218,0.0763
6,Illinois,Adams County,Census Tract 7,,18784.0,23027.0,0.5088,878,114,280,0.4487
7,Illinois,Adams County,Census Tract 8,,35417.0,22474.0,0.4641,2215,161,366,0.2379
8,Illinois,Adams County,Census Tract 9,,43618.0,30000.0,0.4264,2400,266,170,0.1817
9,Illinois,Adams County,Census Tract 10.01,,67813.0,26418.0,0.3464,3917,46,497,0.1386
10,Illinois,Adams County,Census Tract 10.02,,62975.0,36088.0,0.4193,2697,48,475,0.1939
11,Illinois,Adams County,Census Tract 11,,72411.0,42954.0,0.4779,7883,554,718,0.1614
12,Illinois,Adams County,Census Tract 101,,71984.0,34831.0,0.3762,4540,170,174,0.0758
13,Illinois,Adams County,Census Tract 102,,66007.0,36871.0,0.4924,3581,132,174,0.0855
14,Illinois,Adams County,Census Tract 103.01,,91378.0,33939.0,0.3338,2883,77,138,0.0746
15,Illinois,Adams County,Census Tract 103.02,,72560.0,37168.0,0.3898,2842,98,92,0.0669
16,Illinois,Adams County,Census Tract 104,,102764.0,49554.0,0.3701,3392,34,134,0.0495
17,Illinois,Adams County,Census Tract 105,,80182.0,40254.0,0.3554,3123,12,133,0.0464
18,Illinois,Adams County,Census Tract 106,,82832.0,46173.0,0.44,5260,166,197,0.069
19,Illinois,Alexander County,Census Tract 9576,,54875.0,33219.0,0.4592,1724,67,157,0.1299
20,Illinois,Alexander County,Census Tract 9577,,62639.0,29273.0,0.4586,1341,95,269,0.2714
21,Illinois,Alexander County,Census Tract 9578,,44932.0,26564.0,0.4504,1036,30,188,0.2104
22,Illinois,Alexander County,Census Tract 9579,,27021.0,24257.0,0.5411,672,82,20,0.1518
23,Illinois,Bond County,Census Tract 9512,,60179.0,33898.0,0.3998,3053,123,168,0.0953
24,Illinois,Bond County,Census Tract 9513,,64697.0,37214.0,0.4303,4840,368,217,0.1209
25,Illinois,Bond County,Census Tract 9514,,66545.0,32148.0,0.4032,2786,101,249,0.1256
26,Illinois,Bond County,Census Tract 9515,,74444.0,43146.0,0.4745,3946,98,267,0.0925
27,Illinois,Boone County,Census Tract 101.01,,79750.0,37399.0,0.4275,4506,444,498,0.2091
28,Illinois,Boone County,Census Tract 101.02,,62024.0,25055.0,0.3995,4768,187,331,0.1086
29,Illinois,Boone County,Census Tract 102,,42331.0,27631.0,0.4367,5372,398,536,0.1739
30,Illinois,Boone County,Census Tract 103,,59504.0,33656.0,0.3676,5739,167,542,0.1235
31,Illinois,Boone County,Census Tract 104,,87066.0,38865.0,0.3717,6778,507,456,0.1421
32,Illinois,Boone County,Census Tract 105.01,,163188.0,67428.0,0.3688,4944,39,26,0.0131
33,Illinois,Boone County,Census Tract 105.02,,97778.0,52262.0,0.4115,4950,49,172,0.0446
34,Illinois,Boone County,Census Tract 106.01,,96250.0,44107.0,0.3897,3461,164,43,0.0598
35,Illinois,Boone County,Census Tract 106.03,,134747.0,48030.0,0.3056,6378,66,7,0.0114
36,Illinois,Boone County,Census Tract 106.04,,79056.0,26825.0,0.3455,5695,275,317,0.104
37,Illinois,Brown County,Census Tract 9704,,75524.0,37353.0,0.3639,2290,63,109,0.0751
38,Illinois,Brown County,Census Tract 9705,,61806.0,19865.0,0.4539,2090,37,196,0.1115
39,Illinois,Bureau County,Census Tract 9647,,68398.0,35802.0,0.4053,2819,135,136,0.0961
40,Illinois,Bureau County,Census Tract 9648,,69000.0,36310.0,0.3788,2992,57,248,0.1019
41,Illinois,Bureau County,Census Tract 9649,,57600.0,30082.0,0.4204,2777,309,269,0.2081
42,Illinois,Bureau County,Census Tract 9650,,69643.0,40160.0,0.4959,3533,196,274,0.133
43,Illinois,Bureau County,Census Tract 9651,,73786.0,36839.0,0.399,4068,100,151,0.0617
44,Illinois,Bureau County,Census Tract 9652,,69375.0,33138.0,0.3868,3541,140,141,0.0794
45,Illinois,Bureau County,Census Tract 9653,,62462.0,33166.0,0.3348,3146,105,48,0.0486
46,Illinois,Bureau County,Census Tract 9654,,68042.0,44209.0,0.4547,3410,181,294,0.1393
47,Illinois,Bureau County,Census Tract 9655,,84875.0,45391.0,0.445,3370,230,117,0.103
48,Illinois,Bureau County,Census Tract 9656,,69135.0,37124.0,0.4144,2662,167,181,0.1307
49,Illinois,Calhoun County,Census Tract 9512,,85645.0,32326.0,0.3975,1728,92,52,0.0833
50,Illinois,Calhoun County,Census Tract 9513,,103750.0,37168.0,0.3538,2506,11,112,0.0491
51,Illinois,Carroll County,Census Tract 9601,,74861.0,40584.0,0.443,3660,138,347,0.1325
52,Illinois,Carroll County,Census Tract 9602,,64013.0,37414.0,0.4413,1840,170,91,0.1418
53,Illinois,Carroll County,Census Tract 9603,,49821.0,28052.0,0.3909,2886,158,339,0.1722
54,Illinois,Carroll County,Census Tract 9604,,54483.0,32503.0,0.3799,1864,123,229,0.1888
55,Illinois,Carroll County,Census Tract 9605,,69784.0,34899.0,0.329,2489,31,162,0.0775
56,Illinois,Carroll County,Census Tract 9606,,68281.0,18170.0,0.373,1177,21,167,0.1597
57,Illinois,Cass County,Census Tract 9601,,64333.0,33296.0,0.4223,1912,121,46,0.0873
58,Illinois,Cass County,Census Tract 9602,,67650.0,37370.0,0.424,2623,185,66,0.0957
59,Illinois,Cass County,Census Tract 9603,,74335.0,41479.0,0.4284,2858,115,109,0.0784
60,Illinois,Cass County,Census Tract 9604,,61473.0,28581.0,0.4064,2608,180,172,0.135
61,Illinois,Cass County,Census Tract 9605,,60932.0,23284.0,0.3276,2680,267,145,0.1537
62,Illinois,Champaign County,Census Tract 2,,34958.0,16115.0,0.5142,2043,622,231,0.4175
63,Illinois,Champaign County,Census Tract 3.01,,6482.0,5933.0,0.6341,6577,4990,829,0.8847
64,Illinois,Champaign County,Census Tract 3.02,,10698.0,17821.0,0.6427,2535,1278,373,0.6513
65,Illinois,Champaign County,Census Tract 4.01,,2499.0,3861.0,0.782,1386,1126,87,0.8752
66,Illinois,Champaign County,Census Tract 4.02,,6831.0,7256.0,0.6822,3280,2341,579,0.8902
67,Illinois,Champaign County,Census Tract 5,,60392.0,61359.0,0.5802,3535,333,186,0.1468
68,Illinois,Champaign County,Census Tract 7,,44012.0,22812.0,0.4322,3702,496,571,0.2882
69,Illinois,Champaign County,Census Tract 8,,69265.0,35257.0,0.4066,6855,438,344,0.1141
