,GEO_0,GEO_1,GEO_2,GEO_3,pop_total,white,black,indian,asian,pacific,other,multi,latino,white_pct,black_pct,indian_pct,asian_pct,pacific_pct,other_pct,multi_pct,latino_pct
0,Illinois,,,,12812508,7472751,1775612,16561,747280,2959,45080,414855,2337410,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824
0,Illinois,Clark County,,,15455,14680,54,28,52,0,30,365,246,0.9499,0.0035,0.0018,0.0034,0.0,0.0019,0.0236,0.0159
1,Illinois,Cass County,,,13042,9061,706,36,117,33,10,290,2789,0.6948,0.0541,0.0028,0.009,0.0025,0.0008,0.0222,0.2138
2,Illinois,Champaign County,,,205865,125280,28215,279,24420,60,897,10048,16666,0.6086,0.1371,0.0014,0.1186,0.0003,0.0044,0.0488,0.081
3,Illinois,Christian County,,,34032,31226,380,59,179,1,60,1033,1094,0.9175,0.0112,0.0017,0.0053,0.0,0.0018,0.0304,0.0321
4,Illinois,Clay County,,,13288,12481,30,33,77,0,18,426,223,0.9393,0.0023,0.0025,0.0058,0.0,0.0014,0.0321,0.0168
5,Illinois,Clinton County,,,36899,32845,1140,80,175,5,93,1174,1387,0.8901,0.0309,0.0022,0.0047,0.0001,0.0025,0.0318,0.0376
6,Illinois,Coles County,,,46863,40352,2043,82,617,24,211,1766,1768,0.8611,0.0436,0.0017,0.0132,0.0005,0.0045,0.0377,0.0377
7,Illinois,Cook County,,,5275541,2135243,1185601,5655,408691,961,20538,136074,1382778,0.4047,0.2247,0.0011,0.0775,0.0002,0.0039,0.0258,0.2621
8,Illinois,Crawford County,,,18679,16941,608,36,76,2,29,540,447,0.907,0.0325,0.0019,0.0041,0.0001,0.0016,0.0289,0.0239
9,Illinois,Cumberland County,,,10450,9947,28,13,21,0,17,312,112,0.9519,0.0027,0.0012,0.002,0.0,0.0016,0.0299,0.0107
10,Illinois,DeKalb County,,,100420,71249,8730,119,2280,29,298,4118,13597,0.7095,0.0869,0.0012,0.0227,0.0003,0.003,0.041,0.1354
11,Illinois,De Witt County,,,15516,14370,108,19,40,16,16,437,510,0.9261,0.007,0.0012,0.0026,0.001,0.001,0.0282,0.0329
12,Illinois,Douglas County,,,19740,17420,67,28,103,6,34,517,1565,0.8825,0.0034,0.0014,0.0052,0.0003,0.0017,0.0262,0.0793
13,Illinois,DuPage County,,,932877,591441,44201,873,118982,219,3299,29571,144291,0.634,0.0474,0.0009,0.1275,0.0002,0.0035,0.0317,0.1547
14,Illinois,Edgar County,,,16866,16005,82,17,51,0,33,453,225,0.949,0.0049,0.001,0.003,0.0,0.002,0.0269,0.0133
15,Illinois,Edwards County,,,6245,5994,16,8,21,4,11,128,63,0.9598,0.0026,0.0013,0.0034,0.0006,0.0018,0.0205,0.0101
16,Illinois,Effingham County,,,34668,32361,151,36,246,6,45,951,872,0.9335,0.0044,0.001,0.0071,0.0002,0.0013,0.0274,0.0252
17,Illinois,Fayette County,,,21488,19425,780,80,67,1,31,447,657,0.904,0.0363,0.0037,0.0031,0.0,0.0014,0.0208,0.0306
18,Illinois,Ford County,,,13534,12265,75,24,57,0,42,517,554,0.9062,0.0055,0.0018,0.0042,0.0,0.0031,0.0382,0.0409
19,Illinois,Franklin County,,,37804,35210,162,92,119,4,63,1512,642,0.9314,0.0043,0.0024,0.0031,0.0001,0.0017,0.04,0.017
20,Illinois,Fulton County,,,33609,30616,1102,59,69,6,77,942,738,0.9109,0.0328,0.0018,0.0021,0.0002,0.0023,0.028,0.022
21,Illinois,Gallatin County,,,4946,4683,25,5,23,0,3,154,53,0.9468,0.0051,0.001,0.0047,0.0,0.0006,0.0311,0.0107
22,Illinois,Greene County,,,11985,11451,18,13,21,3,23,350,106,0.9554,0.0015,0.0011,0.0018,0.0003,0.0019,0.0292,0.0088
