fips5,Location,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,1950_PctChg,1960_PctChg,1970_PctChg,1980_PctChg,1990_PctChg,2000_PctChg,2010_PctChg,2020_PctChg,2030_PctChg,2040_PctChg,2050_PctChg
17049,Effingham County,21675.0,23107.0,24608.0,30944.0,31704.0,34264.0,34242.0,34668.0,32982.0,,,,0.0661,0.065,0.2575,0.0246,0.0807,-0.0006,0.0124,-0.0486,0.0,0.0
17051,Fayette County,24582.0,21946.0,20752.0,22167.0,20893.0,21802.0,22140.0,21488.0,22870.0,,,,-0.1072,-0.0544,0.0682,-0.0575,0.0435,0.0155,-0.0294,0.0643,0.0,0.0
17053,Ford County,15901.0,16606.0,16382.0,15265.0,14275.0,14241.0,14081.0,13534.0,13071.0,,,,0.0443,-0.0135,-0.0682,-0.0649,-0.0024,-0.0112,-0.0388,-0.0342,0.0,0.0
17055,Franklin County,48685.0,39281.0,38329.0,43201.0,40319.0,39018.0,39561.0,37804.0,36362.0,,,,-0.1932,-0.0242,0.1271,-0.0667,-0.0323,0.0139,-0.0444,-0.0381,0.0,0.0
17057,Fulton County,43716.0,41954.0,41890.0,43687.0,38080.0,38250.0,37069.0,33609.0,32779.0,,,,-0.0403,-0.0015,0.0429,-0.1283,0.0045,-0.0309,-0.0933,-0.0247,0.0,0.0
17059,Gallatin County,9818.0,7638.0,7418.0,7590.0,6909.0,6445.0,5589.0,4946.0,4555.0,,,,-0.222,-0.0288,0.0232,-0.0897,-0.0672,-0.1328,-0.115,-0.0791,0.0,0.0
17061,Greene County,18852.0,17460.0,17014.0,16661.0,15317.0,14761.0,13886.0,11985.0,10941.0,,,,-0.0738,-0.0255,-0.0207,-0.0807,-0.0363,-0.0593,-0.1369,-0.0871,0.0,0.0
17063,Grundy County,19217.0,22350.0,26535.0,30582.0,32337.0,37535.0,50063.0,52533.0,54805.0,,,,0.163,0.1872,0.1525,0.0574,0.1607,0.3338,0.0493,0.0432,0.0,0.0
17065,Hamilton County,12256.0,10010.0,8665.0,9172.0,8499.0,8621.0,8457.0,7993.0,8284.0,,,,-0.1833,-0.1344,0.0585,-0.0734,0.0144,-0.019,-0.0549,0.0364,0.0,0.0
17067,Hancock County,25790.0,24574.0,23645.0,23877.0,21373.0,20121.0,19104.0,17620.0,16014.0,,,,-0.0472,-0.0378,0.0098,-0.1049,-0.0586,-0.0505,-0.0777,-0.0911,0.0,0.0
17069,Hardin County,7530.0,5879.0,4914.0,5383.0,5189.0,4800.0,4320.0,3649.0,3275.0,,,,-0.2193,-0.1641,0.0954,-0.036,-0.075,-0.1,-0.1553,-0.1025,0.0,0.0
17071,Henderson County,8416.0,8237.0,8451.0,9114.0,8096.0,8213.0,7331.0,6387.0,5903.0,,,,-0.0213,0.026,0.0785,-0.1117,0.0145,-0.1074,-0.1288,-0.0758,0.0,0.0
17073,Henry County,46492.0,49317.0,53217.0,57968.0,51159.0,51020.0,50486.0,49284.0,46863.0,,,,0.0608,0.0791,0.0893,-0.1175,-0.0027,-0.0105,-0.0238,-0.0491,0.0,0.0
17075,Iroquois County,32348.0,33562.0,33532.0,32976.0,30787.0,31334.0,29718.0,27077.0,24280.0,,,,0.0375,-0.0009,-0.0166,-0.0664,0.0178,-0.0516,-0.0889,-0.1033,0.0,0.0
17077,Jackson County,38124.0,42151.0,55008.0,61522.0,61067.0,59612.0,60218.0,52974.0,57953.0,,,,0.1056,0.305,0.1184,-0.0074,-0.0238,0.0102,-0.1203,0.094,0.0,0.0
17079,Jasper County,12266.0,11346.0,10741.0,11318.0,10609.0,10117.0,9698.0,9287.0,7987.0,,,,-0.075,-0.0533,0.0537,-0.0626,-0.0464,-0.0414,-0.0424,-0.14,0.0,0.0
17081,Jefferson County,35892.0,32315.0,31446.0,36552.0,37020.0,40045.0,38827.0,37113.0,38509.0,,,,-0.0997,-0.0269,0.1624,0.0128,0.0817,-0.0304,-0.0441,0.0376,0.0,0.0
17083,Jersey County,15264.0,17023.0,18492.0,20538.0,20539.0,21668.0,22985.0,21512.0,21837.0,,,,0.1152,0.0863,0.1106,0.0,0.055,0.0608,-0.0641,0.0151,0.0,0.0
17085,Jo Daviess County,21459.0,21821.0,21766.0,23520.0,21821.0,22289.0,22678.0,22035.0,21161.0,,,,0.0169,-0.0025,0.0806,-0.0722,0.0214,0.0175,-0.0284,-0.0397,0.0,0.0
17087,Johnson County,8729.0,6928.0,7550.0,9624.0,11347.0,12878.0,12582.0,13308.0,14493.0,,,,-0.2063,0.0898,0.2747,0.179,0.1349,-0.023,0.0577,0.089,0.0,0.0
17089,Kane County,150388.0,208246.0,251005.0,278405.0,317471.0,404119.0,515269.0,516522.0,550751.0,,,,0.3847,0.2053,0.1092,0.1403,0.2729,0.275,0.0024,0.0663,0.0,0.0
17091,Kankakee County,73524.0,92063.0,97250.0,102926.0,96255.0,103833.0,113449.0,107502.0,108273.0,,,,0.2521,0.0563,0.0584,-0.0648,0.0787,0.0926,-0.0524,0.0072,0.0,0.0
17093,Kendall County,12115.0,17540.0,26374.0,37202.0,39413.0,54544.0,114736.0,131869.0,147665.0,,,,0.4478,0.5036,0.4106,0.0594,0.3839,1.1035,0.1493,0.1198,0.0,0.0
17095,Knox County,54366.0,61280.0,61280.0,61607.0,56393.0,55836.0,52919.0,49967.0,48954.0,,,,0.1272,0.0,0.0053,-0.0846,-0.0099,-0.0522,-0.0558,-0.0203,0.0,0.0
17097,Lake County,179097.0,293656.0,382638.0,440372.0,516418.0,644356.0,703462.0,714342.0,755333.0,,,,0.6396,0.303,0.1509,0.1727,0.2477,0.0917,0.0155,0.0574,0.0,0.0
17099,LaSalle County,100610.0,110800.0,111409.0,112033.0,106913.0,111509.0,113924.0,109658.0,105845.0,,,,0.1013,0.0055,0.0056,-0.0457,0.043,0.0217,-0.0374,-0.0348,0.0,0.0
17101,Lawrence County,20539.0,18540.0,17522.0,17807.0,15972.0,15452.0,16833.0,15280.0,14602.0,,,,-0.0973,-0.0549,0.0163,-0.103,-0.0326,0.0894,-0.0923,-0.0444,0.0,0.0
17103,Lee County,36451.0,38749.0,37947.0,36328.0,34392.0,36062.0,36031.0,34145.0,34063.0,,,,0.063,-0.0207,-0.0427,-0.0533,0.0486,-0.0009,-0.0523,-0.0024,0.0,0.0
17105,Livingston County,37809.0,40341.0,40690.0,41381.0,39301.0,39678.0,38950.0,35815.0,37293.0,,,,0.067,0.0087,0.017,-0.0503,0.0096,-0.0183,-0.0805,0.0413,0.0,0.0
17107,Logan County,30671.0,33656.0,33538.0,31802.0,30798.0,31183.0,30305.0,27987.0,28675.0,,,,0.0973,-0.0035,-0.0518,-0.0316,0.0125,-0.0282,-0.0765,0.0246,0.0,0.0
17109,McDonough County,28199.0,28928.0,36653.0,37467.0,35244.0,32913.0,32612.0,27238.0,31469.0,,,,0.0259,0.267,0.0222,-0.0593,-0.0661,-0.0091,-0.1648,0.1553,0.0,0.0
17111,McHenry County,50656.0,84210.0,111555.0,147897.0,183241.0,260077.0,308760.0,310229.0,332166.0,,,,0.6624,0.3247,0.3258,0.239,0.4193,0.1872,0.0048,0.0707,0.0,0.0
17113,McLean County,76577.0,83877.0,104389.0,119149.0,129180.0,150433.0,169572.0,170954.0,194821.0,,,,0.0953,0.2445,0.1414,0.0842,0.1645,0.1272,0.0081,0.1396,0.0,0.0
17115,Macon County,98853.0,118257.0,125010.0,131375.0,117206.0,114706.0,110768.0,103998.0,101496.0,,,,0.1963,0.0571,0.0509,-0.1079,-0.0213,-0.0343,-0.0611,-0.0241,0.0,0.0
17117,Macoupin County,44210.0,43524.0,44557.0,49384.0,47679.0,49019.0,47765.0,44967.0,42580.0,,,,-0.0155,0.0237,0.1083,-0.0345,0.0281,-0.0256,-0.0586,-0.0531,0.0,0.0
17119,Madison County,182307.0,224689.0,250934.0,247691.0,249238.0,258941.0,269282.0,265859.0,263596.0,,,,0.2325,0.1168,-0.0129,0.0062,0.0389,0.0399,-0.0127,-0.0085,0.0,0.0
17121,Marion County,41700.0,39349.0,38986.0,43523.0,41561.0,41691.0,39437.0,37729.0,36194.0,,,,-0.0564,-0.0092,0.1164,-0.0451,0.0031,-0.0541,-0.0433,-0.0407,0.0,0.0
17123,Marshall County,13025.0,13334.0,13302.0,14479.0,12846.0,13180.0,12640.0,11742.0,10697.0,,,,0.0237,-0.0024,0.0885,-0.1128,0.026,-0.041,-0.071,-0.089,0.0,0.0
17125,Mason County,15326.0,15193.0,16161.0,19492.0,16269.0,16038.0,14666.0,13086.0,10804.0,,,,-0.0087,0.0637,0.2061,-0.1653,-0.0142,-0.0855,-0.1077,-0.1744,0.0,0.0
17127,Massac County,13594.0,14341.0,13889.0,14990.0,14752.0,15161.0,15429.0,14169.0,13751.0,,,,0.055,-0.0315,0.0793,-0.0159,0.0277,0.0177,-0.0817,-0.0295,0.0,0.0
17129,Menard County,9639.0,9248.0,9685.0,11700.0,11164.0,12486.0,12705.0,12297.0,12378.0,,,,-0.0406,0.0473,0.2081,-0.0458,0.1184,0.0175,-0.0321,0.0066,0.0,0.0
17131,Mercer County,17374.0,17149.0,17294.0,19286.0,17290.0,16957.0,16434.0,15699.0,15259.0,,,,-0.013,0.0085,0.1152,-0.1035,-0.0193,-0.0308,-0.0447,-0.028,0.0,0.0
17133,Monroe County,13282.0,15507.0,18831.0,20117.0,22422.0,27619.0,32957.0,34962.0,37175.0,,,,0.1675,0.2144,0.0683,0.1146,0.2318,0.1933,0.0608,0.0633,0.0,0.0
17135,Montgomery County,32460.0,31244.0,30260.0,31686.0,30728.0,30652.0,30104.0,28288.0,28132.0,,,,-0.0375,-0.0315,0.0471,-0.0302,-0.0025,-0.0179,-0.0603,-0.0055,0.0,0.0
17137,Morgan County,35568.0,36571.0,36174.0,37502.0,36397.0,36616.0,35547.0,32915.0,32872.0,,,,0.0282,-0.0109,0.0367,-0.0295,0.006,-0.0292,-0.074,-0.0013,0.0,0.0
17139,Moultrie County,13171.0,13635.0,13263.0,14546.0,13930.0,14287.0,14846.0,14526.0,14461.0,,,,0.0352,-0.0273,0.0967,-0.0423,0.0256,0.0391,-0.0216,-0.0045,0.0,0.0
17141,Ogle County,33429.0,38106.0,42867.0,46338.0,45957.0,51032.0,53497.0,51788.0,50942.0,,,,0.1399,0.1249,0.081,-0.0082,0.1104,0.0483,-0.0319,-0.0163,0.0,0.0
17143,Peoria County,174347.0,189044.0,195318.0,200466.0,182827.0,183433.0,186494.0,181830.0,177875.0,,,,0.0843,0.0332,0.0264,-0.088,0.0033,0.0167,-0.025,-0.0218,0.0,0.0
17145,Perry County,21684.0,19184.0,19757.0,21714.0,21412.0,23094.0,22350.0,20945.0,21510.0,,,,-0.1153,0.0299,0.0991,-0.0139,0.0786,-0.0322,-0.0629,0.027,0.0,0.0
17147,Piatt County,13970.0,14960.0,15509.0,16581.0,15548.0,16365.0,16729.0,16673.0,15767.0,,,,0.0709,0.0367,0.0691,-0.0623,0.0525,0.0222,-0.0033,-0.0543,0.0,0.0
17149,Pike County,22155.0,20552.0,19185.0,18896.0,17577.0,17384.0,16430.0,14739.0,14290.0,,,,-0.0724,-0.0665,-0.0151,-0.0698,-0.011,-0.0549,-0.1029,-0.0305,0.0,0.0
17151,Pope County,5779.0,4061.0,3857.0,4404.0,4373.0,4413.0,4470.0,3763.0,3630.0,,,,-0.2973,-0.0502,0.1418,-0.007,0.0091,0.0129,-0.1582,-0.0353,0.0,0.0
17153,Pulaski County,13639.0,10490.0,8741.0,8840.0,7523.0,7348.0,6161.0,5193.0,4809.0,,,,-0.2309,-0.1667,0.0113,-0.149,-0.0233,-0.1615,-0.1571,-0.0739,0.0,0.0
17155,Putnam County,4746.0,4570.0,5007.0,6085.0,5730.0,6086.0,6006.0,5637.0,5752.0,,,,-0.0371,0.0956,0.2153,-0.0583,0.0621,-0.0131,-0.0614,0.0204,0.0,0.0
17157,Randolph County,31673.0,29988.0,31379.0,35652.0,34583.0,33893.0,33476.0,30163.0,29449.0,,,,-0.0532,0.0464,0.1362,-0.03,-0.02,-0.0123,-0.099,-0.0237,0.0,0.0
17159,Richland County,16889.0,16299.0,16829.0,17587.0,16545.0,16149.0,16233.0,15813.0,13795.0,,,,-0.0349,0.0325,0.045,-0.0592,-0.0239,0.0052,-0.0259,-0.1276,0.0,0.0
17161,Rock Island County,133558.0,150991.0,166734.0,165968.0,148723.0,149374.0,147546.0,144672.0,138277.0,,,,0.1305,0.1043,-0.0046,-0.1039,0.0044,-0.0122,-0.0195,-0.0442,0.0,0.0
17163,St. Clair County,205995.0,262509.0,285176.0,267531.0,262852.0,256082.0,270056.0,257400.0,249627.0,,,,0.2743,0.0863,-0.0619,-0.0175,-0.0258,0.0546,-0.0469,-0.0302,0.0,0.0
17165,Saline County,33420.0,26227.0,25721.0,28448.0,26551.0,26733.0,24913.0,23768.0,22584.0,,,,-0.2152,-0.0193,0.106,-0.0667,0.0069,-0.0681,-0.046,-0.0498,0.0,0.0
17167,Sangamon County,131484.0,146539.0,161335.0,176089.0,178386.0,188951.0,197465.0,196343.0,192260.0,,,,0.1145,0.101,0.0914,0.013,0.0592,0.0451,-0.0057,-0.0208,0.0,0.0
17169,Schuyler County,9613.0,8746.0,8135.0,8365.0,7498.0,7189.0,7544.0,6902.0,6216.0,,,,-0.0902,-0.0699,0.0283,-0.1036,-0.0412,0.0494,-0.0851,-0.0994,0.0,0.0
17171,Scott County,7245.0,6377.0,6096.0,6142.0,5644.0,5537.0,5355.0,4949.0,4780.0,,,,-0.1198,-0.0441,0.0075,-0.0811,-0.019,-0.0329,-0.0758,-0.0341,0.0,0.0
17173,Shelby County,24434.0,23404.0,22589.0,23923.0,22261.0,22893.0,22363.0,20990.0,20241.0,,,,-0.0422,-0.0348,0.0591,-0.0695,0.0284,-0.0232,-0.0614,-0.0357,0.0,0.0
17175,Stark County,8721.0,8152.0,7510.0,7389.0,6534.0,6332.0,5994.0,5400.0,5191.0,,,,-0.0652,-0.0788,-0.0161,-0.1157,-0.0309,-0.0534,-0.0991,-0.0387,0.0,0.0
17177,Stephenson County,41595.0,46207.0,48861.0,49536.0,48052.0,48979.0,47711.0,44630.0,43130.0,,,,0.1109,0.0574,0.0138,-0.03,0.0193,-0.0259,-0.0646,-0.0336,0.0,0.0
17179,Tazewell County,76165.0,99789.0,118649.0,132078.0,123692.0,128485.0,135394.0,131343.0,129699.0,,,,0.3102,0.189,0.1132,-0.0635,0.0387,0.0538,-0.0299,-0.0125,0.0,0.0
17181,Union County,20500.0,17645.0,16071.0,17765.0,17619.0,18293.0,17808.0,17244.0,16651.0,,,,-0.1393,-0.0892,0.1054,-0.0082,0.0383,-0.0265,-0.0317,-0.0344,0.0,0.0
17183,Vermilion County,87079.0,96176.0,97047.0,95222.0,88257.0,83919.0,81625.0,74188.0,70639.0,,,,0.1045,0.0091,-0.0188,-0.0731,-0.0492,-0.0273,-0.0911,-0.0478,0.0,0.0
17185,Wabash County,14651.0,14047.0,12841.0,13713.0,13111.0,12937.0,11947.0,11361.0,10970.0,,,,-0.0412,-0.0859,0.0679,-0.0439,-0.0133,-0.0765,-0.049,-0.0344,0.0,0.0
17187,Warren County,21981.0,21587.0,21595.0,21943.0,19181.0,18735.0,17707.0,16835.0,17726.0,,,,-0.0179,0.0004,0.0161,-0.1259,-0.0233,-0.0549,-0.0492,0.0529,0.0,0.0
17189,Washington County,14460.0,13569.0,13780.0,15472.0,14965.0,15148.0,14716.0,13761.0,16545.0,,,,-0.0616,0.0156,0.1228,-0.0328,0.0122,-0.0285,-0.0649,0.2023,0.0,0.0
17191,Wayne County,20933.0,19008.0,17004.0,18059.0,17241.0,17151.0,16760.0,16179.0,15289.0,,,,-0.092,-0.1054,0.062,-0.0453,-0.0052,-0.0228,-0.0347,-0.055,0.0,0.0
17193,White County,20935.0,19373.0,17312.0,17864.0,16522.0,15371.0,14665.0,13877.0,12374.0,,,,-0.0746,-0.1064,0.0319,-0.0751,-0.0697,-0.0459,-0.0537,-0.1083,0.0,0.0
17195,Whiteside County,49336.0,59887.0,62877.0,65970.0,60186.0,60653.0,58498.0,55691.0,52327.0,,,,0.2139,0.0499,0.0492,-0.0877,0.0078,-0.0355,-0.048,-0.0604,0.0,0.0
17197,Will County,134336.0,191617.0,249498.0,324460.0,357313.0,502266.0,677560.0,696355.0,779337.0,,,,0.4264,0.3021,0.3005,0.1013,0.4057,0.349,0.0277,0.1192,0.0,0.0
17199,Williamson County,48621.0,46117.0,49021.0,56538.0,57733.0,61296.0,66357.0,67153.0,68169.0,,,,-0.0515,0.063,0.1533,0.0211,0.0617,0.0826,0.012,0.0151,0.0,0.0
17201,Winnebago County,152385.0,209765.0,246623.0,250884.0,252913.0,278418.0,295266.0,285350.0,284648.0,,,,0.3765,0.1757,0.0173,0.0081,0.1008,0.0605,-0.0336,-0.0025,0.0,0.0
17203,Woodford County,21335.0,24579.0,28012.0,33320.0,32653.0,35469.0,38664.0,38467.0,39680.0,,,,0.1521,0.1397,0.1895,-0.02,0.0862,0.0901,-0.0051,0.0315,0.0,0.0
17,Illinois,8712176.0,10081158.0,11113976.0,11426518.0,11430602.0,12419293.0,12830632.0,12812508.0,12778048.0,0.0,0.0,,0.1571,0.1025,0.0281,0.0004,0.0865,0.0331,-0.0014,-0.0027,-1.0,
