,GEO_0,GEO_1,GEO_2,work_pop,agri,const,manuf,wholesale,retail,trnpwh,info,finance,prosrv,edu,accomm,othsrv,admin,agri_pct,const_pct,manuf_pct,wholesale_pct,retail_pct,trnpwh_pct,info_pct,finance_pct,prosrv_pct,edu_pct,accomm_pct,othsrv_pct,admin_pct
0,Illinois,,,6263764,65758,335593,719899,163639,648265,439507,104876,465899,805057,1475900,512046,286574,240751,0.010498160530952316,0.05357689082794307,0.11493073493828951,0.02612470712498108,0.10349448031566962,0.07016659631493141,0.016743287263057804,0.07438003730664182,0.12852607473717081,0.23562509698641265,0.08174733275391602,0.045751085130282684,0.038435515769751225
0,Illinois,Adams County,,32566,1010,1430,4457,1672,4197,1567,450,1965,2224,8459,2413,1399,1323,0.031013940919977893,0.04391082724313702,0.1368605293864767,0.051341890315052506,0.12887674261499724,0.04811766873426273,0.01381809248909906,0.0603390038690659,0.06829208376834736,0.2597494319228643,0.07409568261376896,0.04295891420499908,0.04062519191795124
1,Illinois,Alexander County,,1804,82,158,169,74,258,196,1,37,68,467,115,37,142,0.045454545454545456,0.08758314855875832,0.09368070953436806,0.041019955654102,0.14301552106430154,0.10864745011086474,0.0005543237250554324,0.020509977827051,0.037694013303769404,0.2588691796008869,0.06374722838137473,0.020509977827051,0.0787139689578714
2,Illinois,Bond County,,7162,445,454,688,221,586,319,52,171,417,1928,898,474,509,0.062133482267523035,0.06339011449315833,0.09606255235967606,0.03085730242948897,0.0818207204691427,0.044540631108628874,0.007260541748115051,0.02387601228707065,0.05822395978776878,0.2691985478916504,0.12538397095783302,0.06618263055012566,0.07106953364981848
3,Illinois,Boone County,,25871,413,1790,5656,623,2677,1648,99,978,2202,5514,2184,1456,631,0.01596382049398941,0.06918943991341657,0.2186231687990414,0.024081017355339955,0.10347493332302578,0.0637006687024081,0.003826678520350972,0.037802945382861115,0.08511460708901859,0.21313439758803293,0.08441884735804568,0.05627923157203046,0.024390243902439025
4,Illinois,Brown County,,2186,187,122,172,450,150,143,2,47,111,449,209,54,90,0.08554437328453797,0.055809698078682524,0.07868252516010979,0.20585544373284537,0.0686184812442818,0.06541628545288197,0.0009149130832570906,0.021500457456541628,0.05077767612076853,0.20539798719121682,0.09560841720036596,0.024702653247941447,0.04117108874656908
5,Illinois,Bureau County,,16156,951,814,2449,535,2427,1190,116,601,904,3521,1234,680,734,0.05886358009408269,0.05038375835602872,0.1515845506313444,0.03311463233473632,0.15022282743253282,0.07365684575389948,0.007179995048279277,0.03719980193117108,0.055954444169348846,0.2179376083188908,0.07638029215152266,0.042089626145085414,0.045432037633077495
6,Illinois,Calhoun County,,1911,208,168,139,9,203,133,9,150,111,503,149,83,46,0.10884353741496598,0.08791208791208792,0.0727367870225013,0.004709576138147566,0.10622710622710622,0.0695970695970696,0.004709576138147566,0.07849293563579278,0.058084772370486655,0.26321297749869177,0.07796964939822083,0.043432757718472007,0.024071166928309785
7,Illinois,Carroll County,,6473,286,363,1456,135,605,504,127,291,359,1267,464,268,348,0.04418353159276997,0.05607909779082342,0.22493434265410164,0.02085586281476904,0.0934651629847057,0.07786188784180442,0.019619959833153098,0.044955970956279935,0.055461146300015446,0.195736134713425,0.0716823729337247,0.041402749884134095,0.05376177970029353
8,Illinois,Cass County,,5622,335,408,1275,238,602,349,159,188,295,1162,242,125,244,0.05958733546780505,0.07257203842049093,0.22678762006403416,0.04233368907861971,0.10707933119886162,0.06207755247242974,0.028281750266808965,0.03344005691924582,0.05247242974030594,0.20668801138384915,0.04304517965136962,0.02223408039843472,0.04340092493774458
