,GEO_0,GEO_1,GEO_2,GEO_3,pop_total,white,black,indian,asian,pacific,other,multi,latino,white_pct,black_pct,indian_pct,asian_pct,pacific_pct,other_pct,multi_pct,latino_pct
2772,Kentucky,Russell County,Census Tract 9604,Block Group 4,517,489,3,0,1,0,0,11,13,0.9458413926499033,0.005802707930367505,0.0,0.0019342359767891683,0.0,0.0,0.02127659574468085,0.025145067698259187
2773,Kentucky,Scott County,Census Tract 401.01,Block Group 1,874,648,88,3,8,0,3,41,83,0.7414187643020596,0.10068649885583524,0.003432494279176201,0.009153318077803204,0.0,0.003432494279176201,0.04691075514874142,0.09496567505720824
2774,Kentucky,Scott County,Census Tract 401.01,Block Group 2,1215,770,253,3,14,0,2,77,96,0.6337448559670782,0.20823045267489712,0.0024691358024691358,0.011522633744855968,0.0,0.0016460905349794238,0.06337448559670782,0.07901234567901234
2775,Kentucky,Scott County,Census Tract 401.02,Block Group 1,786,641,59,0,4,0,1,29,52,0.8155216284987278,0.07506361323155217,0.0,0.005089058524173028,0.0,0.001272264631043257,0.03689567430025445,0.06615776081424936
2776,Kentucky,Scott County,Census Tract 401.02,Block Group 2,904,686,76,5,9,0,5,46,77,0.7588495575221239,0.084070796460177,0.0055309734513274336,0.00995575221238938,0.0,0.0055309734513274336,0.05088495575221239,0.08517699115044247
2777,Kentucky,Scott County,Census Tract 401.02,Block Group 3,779,654,65,2,3,0,0,30,25,0.8395378690629012,0.0834403080872914,0.0025673940949935813,0.0038510911424903724,0.0,0.0,0.038510911424903725,0.03209242618741977
2778,Kentucky,Scott County,Census Tract 402.03,Block Group 1,1245,1030,58,2,5,2,3,80,65,0.8273092369477911,0.046586345381526104,0.001606425702811245,0.004016064257028112,0.001606425702811245,0.0024096385542168677,0.0642570281124498,0.05220883534136546
2779,Kentucky,Scott County,Census Tract 402.03,Block Group 2,1749,1473,79,4,30,0,4,70,89,0.8421955403087479,0.04516866781017725,0.002287021154945683,0.017152658662092625,0.0,0.002287021154945683,0.040022870211549454,0.05088622069754145
2780,Kentucky,Scott County,Census Tract 402.03,Block Group 3,1727,1424,101,0,13,0,2,73,114,0.8245512449334106,0.05848291835552982,0.0,0.007527504342790967,0.0,0.0011580775911986102,0.04226983207874928,0.06601042269832079
2781,Kentucky,Scott County,Census Tract 402.05,Block Group 1,2451,1990,158,3,21,0,7,104,168,0.8119135046919624,0.06446348429212566,0.0012239902080783353,0.008567931456548347,0.0,0.0028559771521827824,0.04243166054671563,0.06854345165238677
2782,Kentucky,Scott County,Census Tract 402.05,Block Group 2,1562,1211,149,1,12,0,10,102,77,0.7752880921895007,0.09539052496798976,0.0006402048655569782,0.0076824583866837385,0.0,0.006402048655569782,0.06530089628681178,0.04929577464788732
2783,Kentucky,Scott County,Census Tract 402.05,Block Group 3,933,360,5,2,2,0,0,18,546,0.3858520900321543,0.0053590568060021436,0.0021436227224008574,0.0021436227224008574,0.0,0.0,0.01929260450160772,0.5852090032154341
2784,Kentucky,Scott County,Census Tract 402.07,Block Group 1,1260,1073,66,0,6,1,5,67,42,0.8515873015873016,0.05238095238095238,0.0,0.004761904761904762,0.0007936507936507937,0.003968253968253968,0.05317460317460317,0.03333333333333333
2785,Kentucky,Scott County,Census Tract 402.08,Block Group 1,765,651,32,0,9,0,1,39,33,0.8509803921568627,0.04183006535947712,0.0,0.011764705882352941,0.0,0.00130718954248366,0.050980392156862744,0.043137254901960784
