,GEO_0,GEO_1,GEO_2,GEO_3,work_pop,labor,civilian,employed,unemployed,armed_forces,not_labor,unemp_rate,labor_pct,civilian_pct,employed_pct,unemployed_pct,armed_forces_pct,not_labor_pct
0,Kentucky,,,,3628656,2166165,2152038,2047296,104742,14127,1462491,0.04867107365204518,0.5969606928846383,0.5930675159067159,0.5642022831593846,0.028865232747331243,0.0038931769779224044,0.40303930711536173
0,Kentucky,Adair County,,,15764,8641,8641,8052,589,0,7123,0.06816340701307719,0.5481476782542501,0.5481476782542501,0.5107840649581324,0.03736361329611774,0.0,0.4518523217457498
1,Kentucky,Allen County,,,16891,10032,10015,9327,688,17,6859,0.06869695456814778,0.59392575928009,0.5929193061393642,0.5521875555029305,0.040731750636433604,0.0010064531407258303,0.40607424071991
2,Kentucky,Anderson County,,,19459,11728,11720,11459,261,8,7731,0.02226962457337884,0.6027031193792076,0.6022919985610772,0.5888791818695719,0.013412816691505217,0.0004111208181304281,0.39729688062079244
3,Kentucky,Ballard County,,,6325,3459,3453,3397,56,6,2866,0.01621778163915436,0.5468774703557312,0.5459288537549407,0.5370750988142292,0.008853754940711462,0.0009486166007905138,0.4531225296442688
4,Kentucky,Barren County,,,35537,19446,19436,18630,806,10,16091,0.041469438155999176,0.5472043222556772,0.546922925401694,0.5242423389706503,0.0226805864310437,0.0002813968539831725,0.45279567774432283
5,Kentucky,Bath County,,,9940,5343,5343,5207,136,0,4597,0.025453864869923265,0.5375251509054326,0.5375251509054326,0.5238430583501006,0.013682092555331992,0.0,0.46247484909456743
6,Kentucky,Bell County,,,19075,8079,8079,7262,817,0,10996,0.10112637702685975,0.4235386631716907,0.4235386631716907,0.38070773263433816,0.042830930537352555,0.0,0.5764613368283094
7,Kentucky,Boone County,,,107694,73145,73032,70739,2293,113,34549,0.0313971957498083,0.6791928983973109,0.6781436291715416,0.6568518208999573,0.021291808271584303,0.0010492692257693093,0.3208071016026891
8,Kentucky,Bourbon County,,,16157,9466,9466,9070,396,0,6691,0.04183393196703993,0.5858760908584515,0.5858760908584515,0.5613665903323637,0.024509500526087764,0.0,0.41412390914154856
9,Kentucky,Boyd County,,,38984,20607,20585,19267,1318,22,18377,0.06402720427495749,0.5286014775292428,0.528037143443464,0.4942284013954443,0.0338087420480197,0.000564334085778781,0.47139852247075725
