STATE,COUNTY,NAME,pop_total_sf1,year_sf1,rank_sf1,pop_total_dhc,year_dhc,rank_dhc
21,117,"Kenton County, Kentucky",159720,2010,3.0,169064,2020,3.0
21,097,"Harrison County, Kentucky",18846,2010,60.0,18692,2020,64.0
21,099,"Hart County, Kentucky",18199,2010,63.0,19288,2020,62.0
21,101,"Henderson County, Kentucky",46250,2010,22.0,44793,2020,24.0
21,103,"Henry County, Kentucky",15416,2010,73.0,15678,2020,72.0
21,105,"Hickman County, Kentucky",4902,2010,118.0,4521,2020,118.0
21,107,"Hopkins County, Kentucky",46920,2010,21.0,45423,2020,23.0
21,109,"Jackson County, Kentucky",13494,2010,84.0,12955,2020,85.0
21,111,"Jefferson County, Kentucky",741096,2010,1.0,782969,2020,1.0
21,115,"Johnson County, Kentucky",23356,2010,50.0,22680,2020,51.0
21,113,"Jessamine County, Kentucky",48586,2010,19.0,52991,2020,18.0
21,129,"Lee County, Kentucky",7887,2010,110.0,7395,2020,111.0
21,119,"Knott County, Kentucky",16346,2010,70.0,14251,2020,76.0
21,121,"Knox County, Kentucky",31883,2010,32.0,30193,2020,35.0
21,123,"Larue County, Kentucky",14193,2010,79.0,14867,2020,74.0
21,125,"Laurel County, Kentucky",58849,2010,16.0,62613,2020,15.0
21,127,"Lawrence County, Kentucky",15860,2010,72.0,16293,2020,69.0
21,131,"Leslie County, Kentucky",11310,2010,94.0,10513,2020,98.0
21,133,"Letcher County, Kentucky",24519,2010,47.0,21548,2020,53.0
21,135,"Lewis County, Kentucky",13870,2010,82.0,13080,2020,83.0
21,137,"Lincoln County, Kentucky",24742,2010,45.0,24275,2020,47.0
21,011,"Bath County, Kentucky",11591,2010,93.0,12750,2020,86.0
21,003,"Allen County, Kentucky",19956,2010,58.0,20588,2020,54.0
21,007,"Ballard County, Kentucky",8249,2010,109.0,7728,2020,109.0
21,013,"Bell County, Kentucky",28691,2010,37.0,24097,2020,48.0
21,005,"Anderson County, Kentucky",21421,2010,53.0,23852,2020,49.0
21,001,"Adair County, Kentucky",18656,2010,61.0,18903,2020,63.0
21,009,"Barren County, Kentucky",42173,2010,24.0,44485,2020,25.0
21,015,"Boone County, Kentucky",118811,2010,4.0,135968,2020,4.0
21,019,"Boyd County, Kentucky",49542,2010,17.0,48261,2020,20.0
21,021,"Boyle County, Kentucky",28432,2010,39.0,30614,2020,34.0
21,017,"Bourbon County, Kentucky",19985,2010,57.0,20252,2020,57.0
21,025,"Breathitt County, Kentucky",13878,2010,81.0,13718,2020,80.0
21,027,"Breckinridge County, Kentucky",20059,2010,56.0,20432,2020,55.0
